행정구역,조회기준,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
경기도 고양시 덕양구 (4128100000),2017년09월,"447,802","181,006",2.47,"222,119","225,683",0.98
경기도 고양시 덕양구 (4128100000),2017년10월,"448,200","181,400",2.47,"222,356","225,844",0.98
경기도 고양시 덕양구 (4128100000),2017년11월,"448,590","181,695",2.47,"222,603","225,987",0.99
경기도 고양시 덕양구 (4128100000),2017년12월,"448,684","181,875",2.47,"222,646","226,038",0.98
경기도 고양시 덕양구 (4128100000),2018년01월,"448,739","182,098",2.46,"222,633","226,106",0.98
경기도 고양시 덕양구 (4128100000),2018년02월,"449,160","182,437",2.46,"222,814","226,346",0.98
경기도 고양시 덕양구 (4128100000),2018년03월,"449,823","182,900",2.46,"223,096","226,727",0.98
경기도 고양시 덕양구 (4128100000),2018년04월,"450,592","183,501",2.46,"223,413","227,179",0.98
경기도 고양시 덕양구 (4128100000),2018년05월,"451,373","184,006",2.45,"223,762","227,611",0.98
경기도 고양시 덕양구 (4128100000),2018년06월,"451,677","184,391",2.45,"223,922","227,755",0.98
경기도 고양시 덕양구 (4128100000),2018년07월,"451,628","184,637",2.45,"223,873","227,755",0.98
경기도 고양시 덕양구 (4128100000),2018년08월,"451,714","185,137",2.44,"223,960","227,754",0.98
경기도 고양시 덕양구 (4128100000),2018년09월,"451,657","185,420",2.44,"223,956","227,701",0.98
경기도 고양시 덕양구 (4128100000),2018년10월,"451,079","185,545",2.43,"223,643","227,436",0.98
경기도 고양시 덕양구 (4128100000),2018년11월,"450,804","185,735",2.43,"223,524","227,280",0.98
경기도 고양시 덕양구 (4128100000),2018년12월,"450,449","185,883",2.42,"223,323","227,126",0.98
경기도 고양시 덕양구 (4128100000),2019년01월,"450,011","185,935",2.42,"223,168","226,843",0.98
경기도 고양시 덕양구 (4128100000),2019년02월,"449,768","186,088",2.42,"223,057","226,711",0.98
경기도 고양시 덕양구 (4128100000),2019년03월,"450,346","186,597",2.41,"223,214","227,132",0.98
경기도 고양시 덕양구 (4128100000),2019년04월,"450,814","187,068",2.41,"223,428","227,386",0.98
경기도 고양시 덕양구 (4128100000),2019년05월,"451,202","187,556",2.41,"223,650","227,552",0.98
경기도 고양시 덕양구 (4128100000),2019년06월,"451,661","187,946",2.4,"223,844","227,817",0.98
경기도 고양시 덕양구 (4128100000),2019년07월,"454,593","189,328",2.4,"225,308","229,285",0.98
경기도 고양시 덕양구 (4128100000),2019년08월,"459,295","191,745",2.4,"227,508","231,787",0.98
경기도 고양시 덕양구 (4128100000),2019년09월,"462,139","193,562",2.39,"228,946","233,193",0.98
경기도 고양시 덕양구 (4128100000),2019년10월,"463,643","194,426",2.38,"229,626","234,017",0.98
경기도 고양시 덕양구 (4128100000),2019년11월,"464,633","194,961",2.38,"230,171","234,462",0.98
경기도 고양시 덕양구 (4128100000),2019년12월,"466,157","195,766",2.38,"230,858","235,299",0.98
경기도 고양시 덕양구 주교동(4128151000),2017년01월,"17,579","7,714",2.28,"9,021","8,558",1.05
경기도 고양시 덕양구 주교동(4128151000),2017년02월,"17,536","7,697",2.28,"8,997","8,539",1.05
경기도 고양시 덕양구 주교동(4128151000),2017년03월,"17,485","7,680",2.28,"8,962","8,523",1.05
경기도 고양시 덕양구 주교동(4128151000),2017년04월,"17,434","7,679",2.27,"8,939","8,495",1.05
경기도 고양시 덕양구 주교동(4128151000),2017년05월,"17,411","7,687",2.26,"8,940","8,471",1.06
경기도 고양시 덕양구 주교동(4128151000),2017년06월,"17,377","7,680",2.26,"8,913","8,464",1.05
경기도 고양시 덕양구 주교동(4128151000),2017년07월,"17,301","7,658",2.26,"8,879","8,422",1.05
경기도 고양시 덕양구 주교동(4128151000),2017년08월,"17,241","7,646",2.25,"8,842","8,399",1.05
경기도 고양시 덕양구 주교동(4128151000),2017년09월,"17,169","7,636",2.25,"8,819","8,350",1.06
경기도 고양시 덕양구 주교동(4128151000),2017년10월,"17,135","7,637",2.24,"8,827","8,308",1.06
경기도 고양시 덕양구 주교동(4128151000),2017년11월,"17,042","7,607",2.24,"8,795","8,247",1.07
경기도 고양시 덕양구 주교동(4128151000),2017년12월,"16,986","7,587",2.24,"8,749","8,237",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년01월,"16,932","7,575",2.24,"8,720","8,212",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년02월,"16,883","7,562",2.23,"8,685","8,198",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년03월,"16,842","7,566",2.23,"8,670","8,172",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년04월,"16,794","7,559",2.22,"8,650","8,144",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년05월,"16,746","7,555",2.22,"8,618","8,128",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년06월,"16,708","7,575",2.21,"8,609","8,099",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년07월,"16,671","7,572",2.2,"8,584","8,087",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년08월,"16,628","7,574",2.2,"8,560","8,068",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년09월,"16,587","7,561",2.19,"8,544","8,043",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년10월,"16,556","7,560",2.19,"8,520","8,036",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년11월,"16,515","7,547",2.19,"8,500","8,015",1.06
경기도 고양시 덕양구 주교동(4128151000),2018년12월,"16,414","7,528",2.18,"8,457","7,957",1.06
경기도 고양시 덕양구 주교동(4128151000),2019년01월,"16,348","7,489",2.18,"8,421","7,927",1.06
경기도 고양시 덕양구 주교동(4128151000),2019년02월,"16,338","7,487",2.18,"8,405","7,933",1.06
경기도 고양시 덕양구 주교동(4128151000),2019년03월,"16,316","7,487",2.18,"8,405","7,911",1.06
경기도 고양시 덕양구 주교동(4128151000),2019년04월,"16,213","7,447",2.18,"8,352","7,861",1.06
경기도 고양시 덕양구 주교동(4128151000),2019년05월,"16,133","7,433",2.17,"8,310","7,823",1.06
경기도 고양시 덕양구 주교동(4128151000),2019년06월,"16,080","7,427",2.17,"8,288","7,792",1.06
경기도 고양시 덕양구 주교동(4128151000),2019년07월,"16,033","7,432",2.16,"8,264","7,769",1.06
경기도 고양시 덕양구 주교동(4128151000),2019년08월,"15,947","7,394",2.16,"8,219","7,728",1.06
경기도 고양시 덕양구 주교동(4128151000),2019년09월,"15,912","7,392",2.15,"8,204","7,708",1.06
경기도 고양시 덕양구 주교동(4128151000),2019년10월,"15,866","7,383",2.15,"8,186","7,680",1.07
경기도 고양시 덕양구 주교동(4128151000),2019년11월,"15,827","7,380",2.14,"8,162","7,665",1.06
경기도 고양시 덕양구 주교동(4128151000),2019년12월,"15,748","7,362",2.14,"8,126","7,622",1.07
경기도 고양시 덕양구 원신동(4128152000),2017년01월,"19,268","7,517",2.56,"9,383","9,885",0.95
경기도 고양시 덕양구 원신동(4128152000),2017년02월,"19,309","7,528",2.56,"9,397","9,912",0.95
경기도 고양시 덕양구 원신동(4128152000),2017년03월,"19,275","7,525",2.56,"9,375","9,900",0.95
경기도 고양시 덕양구 원신동(4128152000),2017년04월,"19,272","7,523",2.56,"9,379","9,893",0.95
경기도 고양시 덕양구 원신동(4128152000),2017년05월,"19,302","7,546",2.56,"9,379","9,923",0.95
경기도 고양시 덕양구 원신동(4128152000),2017년06월,"20,309","7,903",2.57,"9,878","10,431",0.95
경기도 고양시 덕양구 원신동(4128152000),2017년07월,"21,060","8,149",2.58,"10,230","10,830",0.94
경기도 고양시 덕양구 원신동(4128152000),2017년08월,"21,607","8,341",2.59,"10,491","11,116",0.94
경기도 고양시 덕양구 원신동(4128152000),2017년09월,"21,803","8,418",2.59,"10,589","11,214",0.94
경기도 고양시 덕양구 원신동(4128152000),2017년10월,"21,896","8,460",2.59,"10,628","11,268",0.94
경기도 고양시 덕양구 원신동(4128152000),2017년11월,"21,987","8,486",2.59,"10,675","11,312",0.94
경기도 고양시 덕양구 원신동(4128152000),2017년12월,"22,095","8,521",2.59,"10,720","11,375",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년01월,"22,116","8,533",2.59,"10,722","11,394",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년02월,"22,118","8,536",2.59,"10,720","11,398",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년03월,"22,157","8,549",2.59,"10,733","11,424",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년04월,"22,894","8,832",2.59,"11,083","11,811",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년05월,"23,405","9,059",2.58,"11,327","12,078",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년06월,"23,813","9,224",2.58,"11,524","12,289",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년07월,"24,008","9,294",2.58,"11,628","12,380",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년08월,"24,139","9,351",2.58,"11,691","12,448",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년09월,"24,195","9,378",2.58,"11,714","12,481",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년10월,"24,241","9,420",2.57,"11,720","12,521",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년11월,"24,272","9,445",2.57,"11,738","12,534",0.94
경기도 고양시 덕양구 원신동(4128152000),2018년12월,"24,294","9,448",2.57,"11,736","12,558",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년01월,"24,356","9,469",2.57,"11,757","12,599",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년02월,"24,388","9,481",2.57,"11,778","12,610",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년03월,"24,356","9,472",2.57,"11,761","12,595",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년04월,"24,299","9,474",2.56,"11,734","12,565",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년05월,"24,289","9,473",2.56,"11,728","12,561",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년06월,"24,289","9,471",2.56,"11,721","12,568",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년07월,"24,176","9,433",2.56,"11,670","12,506",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년08월,"24,021","9,399",2.56,"11,582","12,439",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년09월,"23,944","9,377",2.55,"11,546","12,398",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년10월,"23,923","9,375",2.55,"11,548","12,375",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년11월,"23,969","9,409",2.55,"11,572","12,397",0.93
경기도 고양시 덕양구 원신동(4128152000),2019년12월,"23,942","9,419",2.54,"11,568","12,374",0.93
경기도 고양시 덕양구 흥도동(4128153000),2017년01월,"32,997","13,081",2.52,"16,212","16,785",0.97
경기도 고양시 덕양구 흥도동(4128153000),2017년02월,"33,253","13,261",2.51,"16,332","16,921",0.97
경기도 고양시 덕양구 흥도동(4128153000),2017년03월,"33,353","13,310",2.51,"16,378","16,975",0.96
경기도 고양시 덕양구 흥도동(4128153000),2017년04월,"33,423","13,359",2.5,"16,401","17,022",0.96
경기도 고양시 덕양구 흥도동(4128153000),2017년05월,"33,556","13,411",2.5,"16,446","17,110",0.96
경기도 고양시 덕양구 흥도동(4128153000),2017년06월,"33,672","13,461",2.5,"16,505","17,167",0.96
경기도 고양시 덕양구 흥도동(4128153000),2017년07월,"33,741","13,495",2.5,"16,553","17,188",0.96
경기도 고양시 덕양구 흥도동(4128153000),2017년08월,"33,864","13,550",2.5,"16,626","17,238",0.96
경기도 고양시 덕양구 흥도동(4128153000),2017년09월,"34,626","13,818",2.51,"16,971","17,655",0.96
경기도 고양시 덕양구 흥도동(4128153000),2017년10월,"35,442","14,084",2.52,"17,362","18,080",0.96
경기도 고양시 덕양구 흥도동(4128153000),2017년11월,"36,081","14,301",2.52,"17,681","18,400",0.96
경기도 고양시 덕양구 흥도동(4128153000),2017년12월,"36,451","14,416",2.53,"17,862","18,589",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년01월,"36,909","14,575",2.53,"18,086","18,823",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년02월,"38,293","15,027",2.55,"18,763","19,530",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년03월,"39,403","15,404",2.56,"19,302","20,101",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년04월,"40,074","15,652",2.56,"19,624","20,450",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년05월,"40,442","15,814",2.56,"19,800","20,642",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년06월,"40,631","15,894",2.56,"19,889","20,742",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년07월,"40,828","15,991",2.55,"19,973","20,855",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년08월,"41,470","16,316",2.54,"20,298","21,172",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년09월,"41,953","16,556",2.53,"20,539","21,414",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년10월,"42,260","16,726",2.53,"20,705","21,555",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년11월,"42,441","16,829",2.52,"20,788","21,653",0.96
경기도 고양시 덕양구 흥도동(4128153000),2018년12월,"42,498","16,841",2.52,"20,817","21,681",0.96
경기도 고양시 덕양구 흥도동(4128153000),2019년01월,"42,601","16,885",2.52,"20,886","21,715",0.96
경기도 고양시 덕양구 흥도동(4128153000),2019년02월,"42,601","16,881",2.52,"20,880","21,721",0.96
경기도 고양시 덕양구 흥도동(4128153000),2019년03월,"42,504","16,853",2.52,"20,817","21,687",0.96
경기도 고양시 덕양구 흥도동(4128153000),2019년04월,"42,450","16,851",2.52,"20,784","21,666",0.96
경기도 고양시 덕양구 흥도동(4128153000),2019년05월,"42,496","16,901",2.51,"20,807","21,689",0.96
경기도 고양시 덕양구 흥도동(4128153000),2019년06월,"42,503","16,928",2.51,"20,798","21,705",0.96
경기도 고양시 덕양구 흥도동(4128153000),2019년07월,"42,502","16,970",2.5,"20,801","21,701",0.96
경기도 고양시 덕양구 흥도동(4128153000),2019년08월,"43,471","17,637",2.46,"21,230","22,241",0.95
경기도 고양시 덕양구 흥도동(4128153000),2019년09월,"44,006","17,966",2.45,"21,456","22,550",0.95
경기도 고양시 덕양구 흥도동(4128153000),2019년10월,"44,206","18,082",2.44,"21,527","22,679",0.95
경기도 고양시 덕양구 흥도동(4128153000),2019년11월,"44,453","18,215",2.44,"21,661","22,792",0.95
경기도 고양시 덕양구 흥도동(4128153000),2019년12월,"44,565","18,311",2.43,"21,702","22,863",0.95
경기도 고양시 덕양구 성사1동(4128154000),2017년01월,"24,992","10,529",2.37,"12,347","12,645",0.98
경기도 고양시 덕양구 성사1동(4128154000),2017년02월,"24,904","10,508",2.37,"12,311","12,593",0.98
경기도 고양시 덕양구 성사1동(4128154000),2017년03월,"24,873","10,479",2.37,"12,283","12,590",0.98
경기도 고양시 덕양구 성사1동(4128154000),2017년04월,"24,876","10,481",2.37,"12,284","12,592",0.98
경기도 고양시 덕양구 성사1동(4128154000),2017년05월,"24,820","10,468",2.37,"12,244","12,576",0.97
경기도 고양시 덕양구 성사1동(4128154000),2017년06월,"24,768","10,496",2.36,"12,221","12,547",0.97
경기도 고양시 덕양구 성사1동(4128154000),2017년07월,"24,737","10,507",2.35,"12,209","12,528",0.97
경기도 고양시 덕양구 성사1동(4128154000),2017년08월,"24,666","10,486",2.35,"12,180","12,486",0.98
경기도 고양시 덕양구 성사1동(4128154000),2017년09월,"24,594","10,463",2.35,"12,150","12,444",0.98
경기도 고양시 덕양구 성사1동(4128154000),2017년10월,"24,516","10,449",2.35,"12,107","12,409",0.98
경기도 고양시 덕양구 성사1동(4128154000),2017년11월,"24,476","10,451",2.34,"12,080","12,396",0.97
경기도 고양시 덕양구 성사1동(4128154000),2017년12월,"24,484","10,459",2.34,"12,094","12,390",0.98
경기도 고양시 덕양구 성사1동(4128154000),2018년01월,"24,479","10,468",2.34,"12,080","12,399",0.97
경기도 고양시 덕양구 성사1동(4128154000),2018년02월,"24,387","10,472",2.33,"12,049","12,338",0.98
경기도 고양시 덕양구 성사1동(4128154000),2018년03월,"24,355","10,490",2.32,"12,033","12,322",0.98
경기도 고양시 덕양구 성사1동(4128154000),2018년04월,"24,279","10,490",2.31,"11,988","12,291",0.98
경기도 고양시 덕양구 성사1동(4128154000),2018년05월,"24,267","10,481",2.32,"11,977","12,290",0.97
경기도 고양시 덕양구 성사1동(4128154000),2018년06월,"24,202","10,468",2.31,"11,962","12,240",0.98
경기도 고양시 덕양구 성사1동(4128154000),2018년07월,"24,179","10,463",2.31,"11,957","12,222",0.98
경기도 고양시 덕양구 성사1동(4128154000),2018년08월,"24,064","10,426",2.31,"11,914","12,150",0.98
경기도 고양시 덕양구 성사1동(4128154000),2018년09월,"23,901","10,370",2.3,"11,855","12,046",0.98
경기도 고양시 덕양구 성사1동(4128154000),2018년10월,"23,633","10,247",2.31,"11,733","11,900",0.99
경기도 고양시 덕양구 성사1동(4128154000),2018년11월,"23,301","10,111",2.3,"11,561","11,740",0.98
경기도 고양시 덕양구 성사1동(4128154000),2018년12월,"23,146","10,032",2.31,"11,479","11,667",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년01월,"23,044","9,994",2.31,"11,427","11,617",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년02월,"22,894","9,957",2.3,"11,358","11,536",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년03월,"22,863","9,965",2.29,"11,337","11,526",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년04월,"22,811","9,944",2.29,"11,311","11,500",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년05월,"22,779","9,938",2.29,"11,289","11,490",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년06월,"22,721","9,918",2.29,"11,256","11,465",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년07월,"22,633","9,880",2.29,"11,211","11,422",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년08월,"22,361","9,769",2.29,"11,071","11,290",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년09월,"22,218","9,721",2.29,"11,013","11,205",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년10월,"22,129","9,696",2.28,"10,965","11,164",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년11월,"22,085","9,684",2.28,"10,941","11,144",0.98
경기도 고양시 덕양구 성사1동(4128154000),2019년12월,"22,062","9,676",2.28,"10,928","11,134",0.98
경기도 고양시 덕양구 성사2동(4128155000),2017년01월,"12,319","4,695",2.62,"6,038","6,281",0.96
경기도 고양시 덕양구 성사2동(4128155000),2017년02월,"12,301","4,701",2.62,"6,032","6,269",0.96
경기도 고양시 덕양구 성사2동(4128155000),2017년03월,"12,270","4,695",2.61,"6,009","6,261",0.96
경기도 고양시 덕양구 성사2동(4128155000),2017년04월,"12,272","4,694",2.61,"6,008","6,264",0.96
경기도 고양시 덕양구 성사2동(4128155000),2017년05월,"12,302","4,710",2.61,"6,019","6,283",0.96
경기도 고양시 덕양구 성사2동(4128155000),2017년06월,"12,284","4,723",2.6,"6,005","6,279",0.96
경기도 고양시 덕양구 성사2동(4128155000),2017년07월,"12,320","4,747",2.6,"6,023","6,297",0.96
경기도 고양시 덕양구 성사2동(4128155000),2017년08월,"12,310","4,756",2.59,"6,004","6,306",0.95
경기도 고양시 덕양구 성사2동(4128155000),2017년09월,"12,312","4,754",2.59,"6,003","6,309",0.95
경기도 고양시 덕양구 성사2동(4128155000),2017년10월,"12,285","4,752",2.59,"5,987","6,298",0.95
경기도 고양시 덕양구 성사2동(4128155000),2017년11월,"12,319","4,779",2.58,"5,996","6,323",0.95
경기도 고양시 덕양구 성사2동(4128155000),2017년12월,"12,303","4,769",2.58,"5,988","6,315",0.95
경기도 고양시 덕양구 성사2동(4128155000),2018년01월,"12,257","4,770",2.57,"5,966","6,291",0.95
경기도 고양시 덕양구 성사2동(4128155000),2018년02월,"12,201","4,763",2.56,"5,932","6,269",0.95
경기도 고양시 덕양구 성사2동(4128155000),2018년03월,"12,173","4,768",2.55,"5,917","6,256",0.95
경기도 고양시 덕양구 성사2동(4128155000),2018년04월,"12,156","4,771",2.55,"5,902","6,254",0.94
경기도 고양시 덕양구 성사2동(4128155000),2018년05월,"12,162","4,782",2.54,"5,908","6,254",0.94
경기도 고양시 덕양구 성사2동(4128155000),2018년06월,"12,130","4,776",2.54,"5,889","6,241",0.94
경기도 고양시 덕양구 성사2동(4128155000),2018년07월,"12,103","4,779",2.53,"5,874","6,229",0.94
경기도 고양시 덕양구 성사2동(4128155000),2018년08월,"12,071","4,777",2.53,"5,854","6,217",0.94
경기도 고양시 덕양구 성사2동(4128155000),2018년09월,"12,064","4,783",2.52,"5,848","6,216",0.94
경기도 고양시 덕양구 성사2동(4128155000),2018년10월,"12,037","4,788",2.51,"5,845","6,192",0.94
경기도 고양시 덕양구 성사2동(4128155000),2018년11월,"12,045","4,792",2.51,"5,843","6,202",0.94
경기도 고양시 덕양구 성사2동(4128155000),2018년12월,"12,061","4,809",2.51,"5,858","6,203",0.94
경기도 고양시 덕양구 성사2동(4128155000),2019년01월,"12,074","4,821",2.5,"5,868","6,206",0.95
경기도 고양시 덕양구 성사2동(4128155000),2019년02월,"12,050","4,833",2.49,"5,863","6,187",0.95
경기도 고양시 덕양구 성사2동(4128155000),2019년03월,"12,001","4,822",2.49,"5,838","6,163",0.95
경기도 고양시 덕양구 성사2동(4128155000),2019년04월,"11,998","4,835",2.48,"5,834","6,164",0.95
경기도 고양시 덕양구 성사2동(4128155000),2019년05월,"11,977","4,831",2.48,"5,835","6,142",0.95
경기도 고양시 덕양구 성사2동(4128155000),2019년06월,"11,978","4,846",2.47,"5,828","6,150",0.95
경기도 고양시 덕양구 성사2동(4128155000),2019년07월,"11,904","4,824",2.47,"5,796","6,108",0.95
경기도 고양시 덕양구 성사2동(4128155000),2019년08월,"11,847","4,807",2.46,"5,752","6,095",0.94
경기도 고양시 덕양구 성사2동(4128155000),2019년09월,"11,812","4,800",2.46,"5,729","6,083",0.94
경기도 고양시 덕양구 성사2동(4128155000),2019년10월,"11,790","4,797",2.46,"5,709","6,081",0.94
경기도 고양시 덕양구 성사2동(4128155000),2019년11월,"11,751","4,788",2.45,"5,689","6,062",0.94
경기도 고양시 덕양구 성사2동(4128155000),2019년12월,"11,729","4,783",2.45,"5,689","6,040",0.94
경기도 고양시 덕양구 효자동(4128156000),2017년01월,"2,407","1,200",2.01,"1,257","1,150",1.09
경기도 고양시 덕양구 효자동(4128156000),2017년02월,"2,405","1,212",1.98,"1,257","1,148",1.09
경기도 고양시 덕양구 효자동(4128156000),2017년03월,"2,436","1,229",1.98,"1,275","1,161",1.1
경기도 고양시 덕양구 효자동(4128156000),2017년04월,"2,434","1,229",1.98,"1,278","1,156",1.11
경기도 고양시 덕양구 효자동(4128156000),2017년05월,"2,464","1,242",1.98,"1,292","1,172",1.1
경기도 고양시 덕양구 효자동(4128156000),2017년06월,"2,467","1,247",1.98,"1,296","1,171",1.11
경기도 고양시 덕양구 효자동(4128156000),2017년07월,"2,469","1,249",1.98,"1,298","1,171",1.11
경기도 고양시 덕양구 효자동(4128156000),2017년08월,"2,478","1,257",1.97,"1,301","1,177",1.11
경기도 고양시 덕양구 효자동(4128156000),2017년09월,"2,474","1,258",1.97,"1,301","1,173",1.11
