Station_ID,STATION_NAME,거치대 수량,위도,경도
249,중산8단지 사거리,30,37.68732893,126.7805466
250,중산동중앙공원 앞,30,37.6918554,126.7799727
251,중산2단지 사거리,20,37.6937897,126.7778566
252,★일산문화공원 홈플러스 앞,30,37.65759567,126.768253
253,★호수공원 (강선17단지 삼거리),30,37.66324074,126.76216200000002
254,★호수공원 제3주차장 (MBC맞은편),30,37.6556466,126.7683522
255,곡산역 삼거리,30,37.6449537,126.8007214
256,고양백석체육센터,20,37.64120429999999,126.7953117
257,★일산 요진와이시티 공원,40,37.643237,126.791498
258,★고속종합터미널 출구,40,37.642158,126.790087
259,★웨스턴돔 입구,30,37.656722,126.77162
260,★장항 제1공영주차장,30,37.66203,126.768952
261,★하늘공원,40,37.678042,126.786537
262,★일산센트럴아이파크,40,37.678241,126.782444
263,◆원시티 정문,40,37.6615787,126.7477361
264,◆킨텍스 사거리,40,37.66440278,126.7480185
265,◆원시티 육교,40,37.6612963,126.7508472
301,고양체육관 부출입구(후문),20,37.6748478,126.7411061
302,한수중학교 앞,25,37.668976,126.7561044
303,장촌공원,20,37.67384349,126.7520894
304,킨텍스,20,37.6697908,126.7447345
305,★대화역 6번 출구,20,37.67612343,126.7480577
306,대화역 1번 출구,30,37.67583764,126.7479736
307,장성공원,20,37.676769,126.7544277
308,문촌 롯데마트 옆,20,37.67249216,126.7564806
309,★주엽역 6번출구 앞,30,37.67127778,126.7618981
310,★주엽역 2번 출구,30,37.6696869,126.7612373
311,★궁골공원,20,37.6702032,126.768394
312,강선초교 옆,30,37.6714232,126.7657557
313,문촌4단지 사거리,30,37.67580438,126.7614404
314,왕산공원 (장성중 뒤),30,37.6818043,126.7515251
315,성저공원 앞,30,37.68244322,126.7563687
316,후곡성당 앞,30,37.67980911,126.7636211
317,★일산3동 주민센터 앞,20,37.677088,126.7701226
318,일산정보산업고교 앞,20,37.6729729,126.772949
319,신일중학교 앞,30,37.67657082,126.7755169
320,★산들마을 사거리 604동 앞,25,37.68316088,126.7775886
321,★일산역 신도시 방면,25,37.68181159,126.76933970000002
322,★후곡마을1단지 101동 앞,20,37.68453413,126.7619793
323,성저초교 앞,20,37.6848631,126.7563178
324,한뫼초교 앞,30,37.68600866,126.7662997
326,일산동문5차 502동 앞,20,37.68895934,126.7708821
327,세인아파트 A동 앞,20,37.68782684,126.7746383
328,현산초교 사거리,20,37.6934684,126.7732967
329,탄현주민센터 앞,20,37.69436998,126.7687225
330,동문1차 101동 맞은편,25,37.6898753,126.7653754
331,탄현역 동쪽 출구,20,37.6935137,126.7613038
333,SBS일산제작센터 맞은편,30,37.695245,126.7650297
334,탄현마을 606동 앞,20,37.69701420000001,126.7695098
339,송포동주민센터,14,37.6714678,126.735204
340,일산역 본일산 방면,30,37.6825132,126.7698609
341,탄현역 서쪽 현충공원앞,30,37.693743,126.759505
342,★문화공원,30,37.6779951,126.766402
343,문화초교 옆,25,37.6750356,126.768351
345,강선마을19단지 1903동,30,37.6660806,126.7586221
346,★하이파크1단지 105동앞 공원광장,30,37.703147,126.755564
347,★하이파크2단지 205동앞 육교밑,30,37.700635,126.752818
348,★하이파크3단지 302동앞 버스정류장옆,30,37.699353,126.754793
349,★고양시 여성창업지원센터 옆,20,37.697838,126.752642
350,★하이파크5단지 502동앞 버스정류장,20,37.697867,126.753089
351,◆일산에듀포레 푸르지오,40,37.70225926,126.7672315
352,◆꿈에그린203동앞,40,37.666425,126.749244
353,◆꿈에그린106동앞,40,37.66672,126.750784
992,★피프틴센터,4,37.6375287,126.8337602
