포스터,행사명,개최기간,주최,분류
https://www.kintex.com/images/img_nothing.jpg,2017 우리은행 경영전략회의 ,2017.01.21 ~ 2017.01.21,우리은행  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,<나는 왜 대권에 도전하는가>의 북콘서트,2017.01.21 ~ 2017.01.21,(주) 다산북스  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 아프로그룹 전짃원 워크샵,2017.01.21 ~ 2017.01.21,아프로파이낸셜대부(주)본점  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,Dartslive Korea Dart 대회,2017.01.22 ~ 2017.01.22,주식회사 다트라이브코리아  ,회의
https://www.kintex.com/images/img_nothing.jpg,스카이에듀 입시설명회,2017.01.22 ~ 2017.01.22,(주)현현교육 신촌스카이에듀학원  ,회의
https://www.kintex.com/images/img_nothing.jpg,달란트교실 진로진학특강,2017.01.23 ~ 2017.01.24,교육협동조합달란트교실  ,회의
https://www.kintex.com/images/img_nothing.jpg,매터니티스쿨 (1분기),2017.01.24 ~ 2017.01.24,중앙씨앤씨  ,회의
https://www.kintex.com/common/download.jsp?attachno=0&seq=1,부동산 실무전문가 박관식 대표의 특별세미나,2017.01.24 ~ 2017.01.24,유한회사 한국토지개발원  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국건설기술연구원 세미나,2017.01.25 ~ 2017.01.25,한국건설기술연구원  ,회의
https://www.kintex.com/images/img_nothing.jpg,호상사 신제품 수주 설명회,2017.02.01 ~ 2017.02.02,(주)호상사  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 신한은행 부서장 전략컨벤션,2017.02.01 ~ 2017.02.02,신한은행  ,회의
https://www.kintex.com/images/img_nothing.jpg,신한은행 부서장 전략회의 ,2017.02.02 ~ 2017.02.02,신한은행  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,2017 쉐보레 아카데미,2017.02.02 ~ 2017.02.03,레이데온코리안써포트(주)  ,회의
https://www.kintex.com/common/download.jsp?attachno=275227&seq=1,2017 god to MEN - 일산,2017.02.04 ~ 2017.02.04,㈜인사이트엔터테인먼트  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,원부동산개발자문상담소 행사,2017.02.07 ~ 2017.02.07,(주)원부동산개발자문상담소  ,회의
https://www.kintex.com/images/img_nothing.jpg,타파웨어 다모아 대리점 설명회,2017.02.08 ~ 2017.02.08,(주)타파웨어브랜즈 코리아 서울지점  ,회의
https://www.kintex.com/images/img_nothing.jpg,웨비나스코리아 세미나,2017.02.09 ~ 2017.02.09,주식회사 웨비나스  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 한화호텔앤드리조트 비전선포식,2017.02.09 ~ 2017.02.10,한화호텔앤드리조트 (주)  ,회의
https://www.kintex.com/common/download.jsp?attachno=275136&seq=1,제24회 맘앤베이비엑스포,2017.02.09 ~ 2017.02.12,(주)유아림 ,전시회
https://www.kintex.com/common/download.jsp?attachno=275149&seq=1,2017 한옥박람회,2017.02.09 ~ 2017.02.12,"국회 국토교통위원회, 한옥박람회 조직위원회 ",전시회
https://www.kintex.com/images/img_nothing.jpg,한국지엠 경인권역 대리점 대표회의,2017.02.10 ~ 2017.02.10,한국지엠  ,회의
https://www.kintex.com/images/img_nothing.jpg,동서대학교 현장실습,2017.02.10 ~ 2017.02.10,동서대학교  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 한옥박람회 국제 고건축 컨퍼런스,2017.02.11 ~ 2017.02.11,㈜월간한옥  ,회의
https://www.kintex.com/images/img_nothing.jpg,타파웨어브랜드워크샵,2017.02.11 ~ 2017.02.11,(주)타파웨어브랜즈 코리아 서울지점  ,회의
https://www.kintex.com/images/img_nothing.jpg,월드패밀리클럽 퍼펫쇼,2017.02.12 ~ 2017.02.12,월드패밀리잉글리쉬코리아주식회사  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 웨딩홀 컨퍼런스,2017.02.12 ~ 2017.02.12,한화호텔앤드리조트 (주)  ,회의
https://www.kintex.com/images/img_nothing.jpg,"스터디포스""학원의 변신""설명회",2017.02.14 ~ 2017.02.14,스터디포스 주식회사  ,회의
https://www.kintex.com/images/img_nothing.jpg,NCIP 운영자회의(2월),2017.02.14 ~ 2017.02.14,주식회사 수화 매니지먼트  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국 GM 신차교육,2017.02.14 ~ 2017.02.15,(주)멀티캠퍼스  ,회의
https://www.kintex.com/images/img_nothing.jpg,코스콤 임직원 워크샵,2017.02.14 ~ 2017.02.27,코스콤  ,회의
https://www.kintex.com/images/img_nothing.jpg,이든앤앨리스 마케팅 직원설명회,2017.02.15 ~ 2017.02.15,이든앤앨리스마케팅  ,회의
https://www.kintex.com/images/img_nothing.jpg,Freedom OM Seminar,2017.02.15 ~ 2017.02.15,코리아무비테크  ,회의
https://www.kintex.com/common/download.jsp?attachno=274812&seq=1,2017 Advanced Tech Korea,2017.02.15 ~ 2017.02.17,마이스포럼 ,전시회
https://www.kintex.com/common/download.jsp?attachno=274816&seq=1,2017 자동차경량화기술산업전,2017.02.15 ~ 2017.02.17,마이스포럼 ,전시회
https://www.kintex.com/images/img_nothing.jpg,2017 한-EU 자동차 경량화 기술 고도화 포럼,2017.02.16 ~ 2017.02.16,마이스포럼  ,회의
https://www.kintex.com/images/img_nothing.jpg,산업핵심기술개발사업 연구진행 회의,2017.02.16 ~ 2017.02.16,(주)인텍  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 경연전람 전시회 참가업체 설명회,2017.02.16 ~ 2017.02.16,(주)경연전람  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 자동차경량화전 부대행사,2017.02.16 ~ 2017.02.16,마이스포럼  ,회의
https://www.kintex.com/images/img_nothing.jpg,마스타자동차 세미나,2017.02.17 ~ 2017.02.24,마스타자동차관리(주)  ,회의
https://www.kintex.com/images/img_nothing.jpg,DARTSLIVE THE FLIGHT CHAMPIONSHIP 2016 WINTER & SOFTDARTS PROFESSIONAL TOUR KOREA FINAL ,2017.02.18 ~ 2017.02.19,주식회사 다트라이브코리아  ,회의
https://www.kintex.com/images/img_nothing.jpg,SIGMUN 2017,2017.02.18 ~ 2017.02.20,글로벌인재육성사업단  ,회의
https://www.kintex.com/images/img_nothing.jpg,신한생명 일산지점 고객초청행사,2017.02.21 ~ 2017.02.21,신한생명보험주식회사  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 경향하우징페어 부대행사,2017.02.21 ~ 2017.02.26,(주)이상네트웍스  ,회의
https://www.kintex.com/common/download.jsp?attachno=274767&seq=1,2017 리빙앤라이프스타일,2017.02.22 ~ 2017.02.26,(주)이상네트웍스 ,전시회
https://www.kintex.com/common/download.jsp?attachno=274861&seq=1,2017 경향하우징페어,2017.02.22 ~ 2017.02.26,(주)이상네트웍스 ,전시회
https://www.kintex.com/common/download.jsp?attachno=274765&seq=1,2017 대한민국 건축기계설비종합전시회,2017.02.22 ~ 2017.02.26,(주)이상네트웍스 ,전시회
https://www.kintex.com/images/img_nothing.jpg,2017 웹심포지움,2017.02.23 ~ 2017.02.23,메디포커스  ,회의
https://www.kintex.com/images/img_nothing.jpg,파크종합상사 세미나,2017.02.23 ~ 2017.02.23,파크종합상사  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 주민제안 공모사업 블록체인심사,2017.02.23 ~ 2017.02.23,(주)킨텍스  ,회의
https://www.kintex.com/common/download.jsp?attachno=274757&seq=1,2017 스위트 코리아(디저트&카페 페스티벌),2017.02.23 ~ 2017.02.26,엑스포럼 ,전시회
https://www.kintex.com/common/download.jsp?attachno=274777&seq=1,2017 매경 창업 & 프랜차이즈쇼,2017.02.23 ~ 2017.02.26,"매일경제, MBN ",전시회
https://www.kintex.com/images/img_nothing.jpg,화정폴리 어학원 졸업식,2017.02.24 ~ 2017.02.24,화정폴리어학원  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국토지개발원 세미나,2017.02.25 ~ 2017.02.25,유한회사 한국토지자산개발  ,회의
https://www.kintex.com/images/img_nothing.jpg,SLP영어학당 졸업식,2017.02.27 ~ 2017.02.27,일산 SLP  ,회의
https://www.kintex.com/images/img_nothing.jpg,국민건강보험공단 2017년도 상반기 1차 교육 컨퍼런스,2017.02.27 ~ 2017.03.10,국민건강보험공단 경인지역본부  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국건설기술연구원 세미나,2017.02.28 ~ 2017.02.28,한국건설기술연구원  ,회의
https://www.kintex.com/images/img_nothing.jpg,전국대도시시장협의회 민선6기 제7차 정기회의 ,2017.02.28 ~ 2017.02.28,고양시청  ,회의
https://www.kintex.com/images/img_nothing.jpg,동부화재 월례미팅,2017.02.28 ~ 2017.02.28,동부화재해상보험(주)  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017년 국토교통부 유량조사 자체평가회의,2017.03.02 ~ 2017.03.02,유량조사사업단  ,회의
https://www.kintex.com/common/download.jsp?attachno=274775&seq=1,Automotive Testing Expo 2017,2017.03.06 ~ 2017.03.08,UKIP Media & Events Ltd 44),전시회
https://www.kintex.com/images/img_nothing.jpg,Intermold Korea 2017 부대행사,2017.03.06 ~ 2017.03.10,한국금형공업협동조합  ,회의
https://www.kintex.com/images/img_nothing.jpg,스트라타시스 행사 ,2017.03.07 ~ 2017.03.07,스트라타시스 유한회사  ,회의
https://www.kintex.com/common/download.jsp?attachno=275165&seq=1,제 14회 한국국제냉난방공조전,2017.03.07 ~ 2017.03.10,산업통상자원부 ,전시회
https://www.kintex.com/images/img_nothing.jpg,2017 KOPLAS 부대행사,2017.03.07 ~ 2017.03.10,(주)한국이앤엑스  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 HARFKO 부대행사,2017.03.07 ~ 2017.03.10,(사)한국에이치백산업협회  ,회의
https://www.kintex.com/common/download.jsp?attachno=275158&seq=1,제24회 국제플라스틱 고무산업전시회,2017.03.07 ~ 2017.03.11,한국이앤엑스 ,전시회
https://www.kintex.com/common/download.jsp?attachno=271501&seq=1,2017 국제금형 및 관련기기전,2017.03.07 ~ 2017.03.11,한국금형공업협동조합 ,전시회
https://www.kintex.com/images/img_nothing.jpg,고효율 상업용 콘덴싱 보일러 기술 (High Efficient Commercial Condensing Boiler),2017.03.08 ~ 2017.03.08,한국와츠 주식회사  ,회의
https://www.kintex.com/images/img_nothing.jpg,(주)케이엠아이 세미나,2017.03.08 ~ 2017.03.08,(주) 케이엠아이  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국냉매관리기술협회 행사,2017.03.09 ~ 2017.03.09,사단법인 한국냉매관리기술협회  ,회의
https://www.kintex.com/images/img_nothing.jpg,영일교육 기자간담회,2017.03.09 ~ 2017.03.09,(주)영일교육시스템  ,회의
https://www.kintex.com/images/img_nothing.jpg,수도권공정안전협의회 세미나,2017.03.09 ~ 2017.03.09,수도권공정안전협의회 북부지회  ,회의
https://www.kintex.com/images/img_nothing.jpg,수도권공정안전협의회 세미나,2017.03.09 ~ 2017.03.09,수도권공정안전협의회 북부지회  ,회의
https://www.kintex.com/images/img_nothing.jpg,댄포스 냉난방 공조 세미나,2017.03.09 ~ 2017.03.09,댄포스(주)  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 낚시박람회 부대행사,2017.03.09 ~ 2017.03.11,(주)서울메쎄아이디  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국건설기술연구원 워크샵,2017.03.10 ~ 2017.03.10,한국건설기술연구원  ,회의
https://www.kintex.com/images/img_nothing.jpg,동부생명 연도시상식 ,2017.03.10 ~ 2017.03.10,동부생명  ,이벤트
https://www.kintex.com/common/download.jsp?attachno=275280&seq=1,2017 한국국제낚시박람회,2017.03.10 ~ 2017.03.12,"(사)한국낚시협회, (사)한국조구산업경영자협회 ",전시회
https://www.kintex.com/images/img_nothing.jpg,2017 피닉스다트 코리아 마스터즈 대회,2017.03.11 ~ 2017.12.10,(주)홍인터내셔날  ,회의
https://www.kintex.com/images/img_nothing.jpg,대구과학고등학교 입학설명회,2017.03.12 ~ 2017.03.12,대구과학고등학교  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 한국야쿠르트대회 ,2017.03.13 ~ 2017.03.15,(주)한국야쿠르트  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 더존비즈온 컨벤션,2017.03.14 ~ 2017.03.14,(주)더존비즈온  ,회의
https://www.kintex.com/images/img_nothing.jpg,한-아세안 진출 전략 설명회,2017.03.14 ~ 2017.03.14,사단법인 경기중소기업연합회  ,회의
https://www.kintex.com/images/img_nothing.jpg,스카이에듀 입시 설명회,2017.03.14 ~ 2017.03.14,(주)현현교육 스카이에듀  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 킹케어 세미나,2017.03.15 ~ 2017.03.15,(주)케이앤아이뷰티앙  ,회의
https://www.kintex.com/common/download.jsp?attachno=274773&seq=1,세계보안엑스포 2017,2017.03.15 ~ 2017.03.17,SECON 2017 조직위원회 ,전시회
https://www.kintex.com/images/img_nothing.jpg,2017 세계보안엑스포 부대행사,2017.03.15 ~ 2017.03.17,보안뉴스(주)  ,회의
https://www.kintex.com/images/img_nothing.jpg,하니플러스 교육 세미나,2017.03.16 ~ 2017.03.16,(주)하니플러스  ,회의
https://www.kintex.com/common/download.jsp?attachno=274779&seq=1,2017 캠핑 & 피크닉페어,2017.03.16 ~ 2017.03.19,캠핑&피크닉페어 사무국 ,전시회
https://www.kintex.com/common/download.jsp?attachno=277695&seq=1,2017 SBS골프 대한민국 골프대전,2017.03.16 ~ 2017.03.19,(주)에스비에스골프 ,전시회
https://www.kintex.com/images/img_nothing.jpg,마스타자동차관리 세미나,2017.03.17 ~ 2017.03.17,마스타자동차관리(주)  ,회의
https://www.kintex.com/images/img_nothing.jpg,고양도시관리공사 채용필기시험,2017.03.18 ~ 2017.03.18,인크루트 주식회사  ,회의
https://www.kintex.com/images/img_nothing.jpg,KANE 골프 세미나,2017.03.18 ~ 2017.03.18,카네  ,회의
https://www.kintex.com/images/img_nothing.jpg,대한민국공무원노동조합총연맹 제4대 출정식,2017.03.18 ~ 2017.03.18,전국공무원노동조합  ,이벤트
https://www.kintex.com/common/download.jsp?attachno=275031&seq=1,코믹월드 서울 147,2017.03.18 ~ 2017.03.19,㈜에스이테크노  ,이벤트
https://www.kintex.com/images/img_nothing.jpg,세종과학예술영재학교 입학설명회,2017.03.19 ~ 2017.03.19,세종과학예술영재학교  ,회의
https://www.kintex.com/images/img_nothing.jpg,수문종사자 교육,2017.03.20 ~ 2017.03.23,유량조사사업단  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국경제 고졸인재채용 잡콘서트 ,2017.03.22 ~ 2017.03.23,한국경제신문  ,회의
https://www.kintex.com/images/img_nothing.jpg,Freedom OM Seminar,2017.03.22 ~ 2017.03.22,코리아무비테크  ,회의
https://www.kintex.com/images/img_nothing.jpg,교육감과 함께하는 학교장 협의회,2017.03.22 ~ 2017.03.22,고양시청  ,회의
https://www.kintex.com/images/img_nothing.jpg,BMW-FM Communications 모터쇼 관련 내부 회의,2017.03.22 ~ 2017.03.22,에프엠커뮤니케이션즈  ,회의
https://www.kintex.com/common/download.jsp?attachno=286591&seq=1,2017 전역예정장병 취업박람회,2017.03.22 ~ 2017.03.23,국방전직교육원 ,전시회
https://www.kintex.com/images/img_nothing.jpg,NCIP 운영자회의(3월),2017.03.23 ~ 2017.03.23,주식회사 수화 매니지먼트  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 한국국제건설기계전 부대행사,2017.03.23 ~ 2017.05.26,한국건설기계산업협회  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 파인텍 정기 주주총회,2017.03.24 ~ 2017.03.24,주식회사 파인텍  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국경제TV 주식 강연회,2017.03.25 ~ 2017.03.25,(주)한국경제티브이  ,회의
https://www.kintex.com/images/img_nothing.jpg,잉큐어학원 설명회,2017.03.25 ~ 2017.03.25,잉큐어학원  ,회의
https://www.kintex.com/images/img_nothing.jpg,정의당 전당대회,2017.03.25 ~ 2017.03.26,정의당  ,회의
https://www.kintex.com/images/img_nothing.jpg,제 56회 대한 소화기내시경학회 세미나 ,2017.03.26 ~ 2017.03.26,대한소화기내시경학회  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국건강가정진흥원 행사,2017.03.27 ~ 2017.03.30,한국건강가정진흥원  ,회의
https://www.kintex.com/images/img_nothing.jpg,원부동산개발자문상담소 세미나,2017.03.28 ~ 2017.03.28,(주)원부동산개발자문상담소  ,회의
https://www.kintex.com/images/img_nothing.jpg,유니클로 브랜드 컨벤션 ,2017.03.28 ~ 2017.03.29,에프알엘코리아주식회사   ,회의
https://www.kintex.com/images/img_nothing.jpg,청년드림 잡 페스티벌,2017.03.28 ~ 2017.03.29,고양시청  ,회의
https://www.kintex.com/images/img_nothing.jpg,BMW 대기실,2017.03.28 ~ 2017.04.09,에프엠커뮤니케이션즈  ,회의
https://www.kintex.com/images/img_nothing.jpg,Lincoln 모터쇼기간 대기실,2017.03.28 ~ 2017.04.09,(주)에스지컴  ,회의
https://www.kintex.com/images/img_nothing.jpg,Jaguar Land Rover Korea 대기실,2017.03.28 ~ 2017.04.09,(주)에스지컴  ,회의
https://www.kintex.com/images/img_nothing.jpg,FTA를 활용한 해외화장품시장 진출전략 세미나,2017.03.29 ~ 2017.03.29,(사)한국무역협회  ,회의
https://www.kintex.com/images/img_nothing.jpg,중소기업 맞춤형 R&D 교육,2017.03.29 ~ 2017.03.30,한국항공대학교 산학협력단  ,회의
https://www.kintex.com/images/img_nothing.jpg,BMW MINI Conference,2017.03.29 ~ 2017.04.09,(주) 브랜드메이커월드와이드  ,회의
https://www.kintex.com/images/img_nothing.jpg,Porsche Conference,2017.03.29 ~ 2017.04.09,(주) 디자인랩어소시에이츠  ,회의
https://www.kintex.com/images/img_nothing.jpg,HONDA관 대기실,2017.03.29 ~ 2017.04.09,(주) 벨루스커뮤니케이션즈  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 서울모터쇼 부대행사,2017.03.29 ~ 2017.04.09,한국자동차산업협회  ,회의
https://www.kintex.com/images/img_nothing.jpg,쌍용자동차 기자간담회,2017.03.30 ~ 2017.03.30,(주) 루트이천삼  ,회의
https://www.kintex.com/images/img_nothing.jpg,르노삼성 프레스데이 세미나,2017.03.30 ~ 2017.03.30,르노삼성자동차주식회사  ,회의
https://www.kintex.com/images/img_nothing.jpg,현대모비스 기자간담회,2017.03.30 ~ 2017.03.30,현대모비스 (주)  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 시.군 종합평가 성과향상을 위한 소통과 힐링 워크숍,2017.03.30 ~ 2017.03.30,고양시청  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 Motor Show JLRK Retailer Conference,2017.03.30 ~ 2017.03.30,주식회사 재규어랜드로버코리아  ,회의
https://www.kintex.com/images/img_nothing.jpg,세상을 바꾸는 엄마들의 수다 전국 지역맘 카페와 정의당 대통령후보 심상정과의 만남,2017.03.30 ~ 2017.03.30,정의당  ,회의
https://www.kintex.com/images/img_nothing.jpg,NISSAN 대기실,2017.03.30 ~ 2017.04.09,에프엠커뮤니케이션즈  ,회의
https://www.kintex.com/images/img_nothing.jpg,삼천리자전거 전속모델 사인회,2017.03.31 ~ 2017.03.31,삼천리자전거 (주)  ,회의
https://www.kintex.com/images/img_nothing.jpg,재규어 랜드로버 서울모터쇼 - Dealer Conference,2017.03.31 ~ 2017.03.31,(주)에스지컴  ,회의
https://www.kintex.com/common/download.jsp?attachno=274955&seq=1,2017 서울모터쇼,2017.03.31 ~ 2017.04.09,"서울모터쇼조직위원회(KAMA, KAIDA, KAICA) ",전시회
https://www.kintex.com/images/img_nothing.jpg,애터미 원데이 세미나(17년 2분기),2017.04.01 ~ 2017.06.03,애터미 주식회사  ,회의
https://www.kintex.com/images/img_nothing.jpg,서울모터쇼 이알플러스 세미나,2017.04.04 ~ 2017.04.04,주식회사 이알플러스  ,회의
https://www.kintex.com/images/img_nothing.jpg,르노삼성 내부 세미나,2017.04.04 ~ 2017.04.04,르노삼성자동차주식회사  ,회의
https://www.kintex.com/images/img_nothing.jpg,한국지엠 협신회 부문/실무위원회,2017.04.04 ~ 2017.04.05,한국지엠 주식회사  ,회의
https://www.kintex.com/images/img_nothing.jpg,나눅스네트웍스 내부 컨퍼런스,2017.04.04 ~ 2017.04.06,주식회사 나눅스네트웍스  ,회의
https://www.kintex.com/images/img_nothing.jpg,퓨리나 교육 세미나,2017.04.06 ~ 2017.04.06,(주)카길애그리퓨리나 평택공장  ,회의
https://www.kintex.com/images/img_nothing.jpg,퓨리나 컨퍼런스,2017.04.06 ~ 2017.04.06,(주)카길애그리퓨리나 평택공장  ,회의
https://www.kintex.com/images/img_nothing.jpg,서브원 직원 세미나,2017.04.07 ~ 2017.04.07,서브원  ,회의
https://www.kintex.com/images/img_nothing.jpg,재규어 랜드로버 다과회,2017.04.07 ~ 2017.04.07,(주)에스지컴  ,회의
https://www.kintex.com/images/img_nothing.jpg,NISSAN 내부 회의 세미나 ,2017.04.07 ~ 2017.04.07,에프엠커뮤니케이션즈  ,회의
https://www.kintex.com/images/img_nothing.jpg,BMW Conference,2017.04.07 ~ 2017.04.07,에프엠커뮤니케이션즈  ,회의
https://www.kintex.com/images/img_nothing.jpg,로봇과 함께하는 소프트웨어 교육 페스티벌,2017.04.07 ~ 2017.04.08,한국교육학술정보원  ,회의
https://www.kintex.com/images/img_nothing.jpg,ACT ,2017.04.07 ~ 2017.04.08,(주)킨텍스  ,회의
https://www.kintex.com/images/img_nothing.jpg,SY에듀 교육세미나,2017.04.08 ~ 2017.04.08,(주)에스와이에듀  ,회의
https://www.kintex.com/images/img_nothing.jpg,2017 한화생명-월드비전 서포터즈발대식,2017.04.08 ~ 2017.04.08,사회복지법인월드비전  ,회의
